2025-01-12 12:43:40,798 INFO    StreamThr :13856 [internal.py:wandb_internal():86] W&B internal server running at pid: 13856, started at: 2025-01-12 12:43:40.797944
2025-01-12 12:43:40,799 DEBUG   HandlerThread:13856 [handler.py:handle_request():146] handle_request: status
2025-01-12 12:43:40,801 INFO    WriterThread:13856 [datastore.py:open_for_write():85] open: /Users/jerry/Project-Build-an-ML-Pipeline-Starter/src/data_check/wandb/run-20250112_124340-pjutj8o2/run-pjutj8o2.wandb
2025-01-12 12:43:40,802 DEBUG   SenderThread:13856 [sender.py:send():380] send: header
2025-01-12 12:43:40,824 DEBUG   SenderThread:13856 [sender.py:send():380] send: run
2025-01-12 12:43:41,094 INFO    SenderThread:13856 [dir_watcher.py:__init__():211] watching files in: /Users/jerry/Project-Build-an-ML-Pipeline-Starter/src/data_check/wandb/run-20250112_124340-pjutj8o2/files
2025-01-12 12:43:41,094 INFO    SenderThread:13856 [sender.py:_start_run_threads():1124] run started: pjutj8o2 with start time 1736703820.798829
2025-01-12 12:43:41,106 DEBUG   HandlerThread:13856 [handler.py:handle_request():146] handle_request: check_version
2025-01-12 12:43:41,107 DEBUG   SenderThread:13856 [sender.py:send_request():407] send_request: check_version
2025-01-12 12:43:41,210 DEBUG   HandlerThread:13856 [handler.py:handle_request():146] handle_request: run_start
2025-01-12 12:43:41,220 DEBUG   HandlerThread:13856 [system_info.py:__init__():32] System info init
2025-01-12 12:43:41,220 DEBUG   HandlerThread:13856 [system_info.py:__init__():47] System info init done
2025-01-12 12:43:41,221 INFO    HandlerThread:13856 [system_monitor.py:start():194] Starting system monitor
2025-01-12 12:43:41,221 INFO    SystemMonitor:13856 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-01-12 12:43:41,221 INFO    HandlerThread:13856 [system_monitor.py:probe():214] Collecting system info
2025-01-12 12:43:41,223 INFO    SystemMonitor:13856 [interfaces.py:start():190] Started cpu monitoring
2025-01-12 12:43:41,223 DEBUG   HandlerThread:13856 [system_info.py:probe():196] Probing system
2025-01-12 12:43:41,223 INFO    SystemMonitor:13856 [interfaces.py:start():190] Started disk monitoring
2025-01-12 12:43:41,225 INFO    SystemMonitor:13856 [interfaces.py:start():190] Started gpuapple monitoring
2025-01-12 12:43:41,227 INFO    SystemMonitor:13856 [interfaces.py:start():190] Started memory monitoring
2025-01-12 12:43:41,228 INFO    SystemMonitor:13856 [interfaces.py:start():190] Started network monitoring
2025-01-12 12:43:41,230 DEBUG   HandlerThread:13856 [system_info.py:_probe_git():181] Probing git
2025-01-12 12:43:41,250 DEBUG   HandlerThread:13856 [system_info.py:_probe_git():189] Probing git done
2025-01-12 12:43:41,250 DEBUG   HandlerThread:13856 [system_info.py:probe():244] Probing system done
